Entity,Code,Year,Monthly sea ice extent in the Antarctic
1980,,1,4.562
1980,,2,2.818
1980,,3,3.295
1980,,4,5.405
1980,,5,8.857
1980,,6,12.49
1980,,7,15.564
1980,,8,17.805
1980,,9,18.817
1980,,10,18.568
1980,,11,16.133
1980,,12,10.156
1981,,1,4.412
1981,,2,2.873
1981,,3,3.392
1981,,4,5.838
1981,,5,9.355
1981,,6,13.109
1981,,7,16.039
1981,,8,17.737
1981,,9,18.597
1981,,10,18.294
1981,,11,16.111
1981,,12,10.895
1982,,1,5.26
1982,,2,3.129
1982,,3,4.288
1982,,4,7.723
1982,,5,10.758
1982,,6,13.417
1982,,7,15.872
1982,,8,17.789
1982,,9,18.353
1982,,10,17.789
1982,,11,15.537
1982,,12,9.216
1983,,1,4.77
1983,,2,3.07
1983,,3,4.016
1983,,4,6.47
1983,,5,9.526
1983,,6,12.643
1983,,7,15.467
1983,,8,17.251
1983,,9,18.585
1983,,10,17.915
1983,,11,16.014
1983,,12,10.394
1984,,1,4.779
1984,,2,2.677
1984,,3,3.612
1984,,4,6.422
1984,,5,9.748
1984,,6,13.231
1984,,7,16.395
1984,,8,17.928
1984,,9,18.171
1984,,10,17.573
1984,,11,16.134
1984,,12,10.473
1985,,1,4.455
1985,,2,2.836
1985,,3,3.717
1985,,4,6.493
1985,,5,10.153
1985,,6,13.428
1985,,7,15.721
1985,,8,17.632
1985,,9,18.703
1985,,10,18.204
1985,,11,16.14
1985,,12,11.352
1986,,1,5.422
1986,,2,3.193
1986,,3,3.698
1986,,4,6.386
1986,,5,9.296
1986,,6,12.687
1986,,7,15.317
1986,,8,16.999
1986,,9,17.683
1986,,10,17.184
1986,,11,15.007
1986,,12,9.654
1987,,1,5.126
1987,,2,3.254
1987,,3,4.113
1987,,4,6.797
1987,,5,9.694
1987,,6,12.684
1987,,7,15.752
1987,,8,17.598
1987,,9,18.246
1987,,10,17.674
1987,,11,15.584
1988,,2,2.886
1988,,3,3.966
1988,,4,6.288
1988,,5,9.602
1988,,6,13.093
1988,,7,15.749
1988,,8,17.561
1988,,9,18.307
1988,,10,18.361
1988,,11,16.148
1988,,12,11.061
1989,,1,4.737
1989,,2,2.978
1989,,3,3.927
1989,,4,6.306
1989,,5,10.297
1989,,6,13.58
1989,,7,15.711
1989,,8,17.466
1989,,9,18.121
1989,,10,17.856
1989,,11,15.734
1989,,12,9.838
1990,,1,4.867
1990,,2,3.036
1990,,3,3.966
1990,,4,7
1990,,5,9.716
1990,,6,13.083
1990,,7,15.571
1990,,8,17.567
1990,,9,18.193
1990,,10,17.945
1990,,11,15.468
1990,,12,9.954
1991,,1,5.338
1991,,2,3.161
1991,,3,3.807
1991,,4,7.053
1991,,5,10.279
1991,,6,13.066
1991,,7,15.55
1991,,8,17.719
1991,,9,18.313
1991,,10,17.917
1991,,11,15.584
1991,,12,10.192
1992,,1,4.749
1992,,2,2.837
1992,,3,3.573
1992,,4,6.794
1992,,5,9.925
1992,,6,12.809
1992,,7,15.894
1992,,8,17.727
1992,,9,18.147
1992,,10,17.934
1992,,11,15.895
1992,,12,10.206
1993,,1,4.409
1993,,2,2.482
1993,,3,3.668
1993,,4,6.652
1993,,5,10.104
1993,,6,13.147
1993,,7,15.855
1993,,8,17.492
1993,,9,18.543
1993,,10,18.128
1993,,11,16.042
1993,,12,9.933
1994,,1,4.966
1994,,2,3.197
1994,,3,4.549
1994,,4,7.222
1994,,5,10.408
1994,,6,13.56
1994,,7,16.296
1994,,8,17.84
1994,,9,18.613
1994,,10,18.09
1994,,11,15.88
1994,,12,10.101
1995,,1,5.636
1995,,2,3.561
1995,,3,4.626
1995,,4,7.268
1995,,5,10.416
1995,,6,13.29
1995,,7,15.744
1995,,8,17.78
1995,,9,18.373
1995,,10,18.03
1995,,11,15.634
1995,,12,10.622
1996,,1,5.871
1996,,2,2.985
1996,,3,4.184
1996,,4,7.28
1996,,5,10.917
1996,,6,13.87
1996,,7,16.12
1996,,8,17.741
1996,,9,18.632
1996,,10,17.965
1996,,11,15.718
1996,,12,9.653
1997,,1,4.197
1997,,2,2.49
1997,,3,3.457
1997,,4,6.492
1997,,5,10.124
1997,,6,13.116
1997,,7,15.921
1997,,8,17.684
1997,,9,18.596
1997,,10,17.993
1997,,11,15.733
1997,,12,10.285
1998,,1,4.465
1998,,2,2.989
1998,,3,4.108
1998,,4,6.854
1998,,5,10.328
1998,,6,13.313
1998,,7,15.963
1998,,8,17.881
1998,,9,18.903
1998,,10,18.66
1998,,11,16.3
1998,,12,10.52
1999,,1,4.816
1999,,2,2.966
1999,,3,3.978
1999,,4,6.892
1999,,5,10.265
1999,,6,13.649
1999,,7,16.282
1999,,8,17.958
1999,,9,18.696
1999,,10,18.352
1999,,11,15.965
1999,,12,10.722
2000,,1,4.749
2000,,2,2.907
2000,,3,4.086
2000,,4,7.132
2000,,5,10.921
2000,,6,13.893
2000,,7,16.098
2000,,8,18.206
2000,,9,18.888
2000,,10,18.131
2000,,11,15.758
2000,,12,9.91
2001,,1,5.233
2001,,2,3.65
2001,,3,4.731
2001,,4,7.044
2001,,5,10.33
2001,,6,13.418
2001,,7,15.852
2001,,8,17.423
2001,,9,18.175
2001,,10,17.726
2001,,11,15.61
2001,,12,10.346
2002,,1,4.74
2002,,2,2.96
2002,,3,3.748
2002,,4,6.328
2002,,5,9.512
2002,,6,12.376
2002,,7,15.415
2002,,8,17.067
2002,,9,17.887
2002,,10,17.866
2002,,11,15.406
2002,,12,10.785
2003,,1,5.773
2003,,2,3.789
2003,,3,4.444
2003,,4,7.208
2003,,5,10.736
2003,,6,13.985
2003,,7,16.402
2003,,8,17.582
2003,,9,18.298
2003,,10,18.198
2003,,11,16.11
2003,,12,10.564
2004,,1,5.59
2004,,2,3.584
2004,,3,4.526
2004,,4,7.28
2004,,5,10.47
2004,,6,13.78
2004,,7,16.333
2004,,8,18.01
2004,,9,18.919
2004,,10,18.457
2004,,11,16.085
2004,,12,10.229
2005,,1,4.752
2005,,2,2.97
2005,,3,4.082
2005,,4,7.032
2005,,5,10.289
2005,,6,13.291
2005,,7,16.158
2005,,8,17.922
2005,,9,18.805
2005,,10,18.477
2005,,11,16.316
2005,,12,9.68
2006,,1,4.164
2006,,2,2.651
2006,,3,3.215
2006,,4,6.01
2006,,5,9.456
2006,,6,13.345
2006,,7,16.114
2006,,8,18.098
2006,,9,19.094
2006,,10,18.733
2006,,11,16.23
2006,,12,9.854
2007,,1,4.673
2007,,2,2.905
2007,,3,3.835
2007,,4,6.418
2007,,5,9.648
2007,,6,13.287
2007,,7,15.956
2007,,8,17.682
2007,,9,18.861
2007,,10,18.508
2007,,11,15.892
2007,,12,11.981
2008,,1,6.414
2008,,2,3.895
2008,,3,5.284
2008,,4,8.242
2008,,5,11.049
2008,,6,14.062
2008,,7,16.095
2008,,8,17.645
2008,,9,18.145
2008,,10,17.994
2008,,11,16.248
2008,,12,11.512
2009,,1,5.707
2009,,2,2.991
2009,,3,4.441
2009,,4,7.798
2009,,5,10.926
2009,,6,13.908
2009,,7,16.261
2009,,8,18.098
2009,,9,18.96
2009,,10,18.298
2009,,11,15.848
2009,,12,10.739
2010,,1,4.958
2010,,2,3.106
2010,,3,3.847
2010,,4,6.715
2010,,5,10.639
2010,,6,14.41
2010,,7,16.921
2010,,8,18.607
2010,,9,18.799
2010,,10,18.648
2010,,11,16.755
2010,,12,11.271
2011,,1,4.512
2011,,2,2.519
2011,,3,3.368
2011,,4,6.097
2011,,5,10.093
2011,,6,13.333
2011,,7,15.752
2011,,8,17.805
2011,,9,18.739
2011,,10,18.218
2011,,11,15.757
2011,,12,11.199
2012,,1,5.654
2012,,2,3.553
2012,,3,4.55
2012,,4,7.309
2012,,5,10.457
2012,,6,13.547
2012,,7,16.298
2012,,8,18.097
2012,,9,19.208
2012,,10,18.594
2012,,11,16.11
2012,,12,10.394
2013,,1,5.543
2013,,2,3.836
2013,,3,5.017
2013,,4,7.623
2013,,5,10.92
2013,,6,14.155
2013,,7,16.809
2013,,8,18.664
2013,,9,19.389
2013,,10,19.018
2013,,11,16.872
2013,,12,11.854
2014,,1,6.327
2014,,2,3.843
2014,,3,4.901
2014,,4,8.343
2014,,5,11.519
2014,,6,14.687
2014,,7,17.106
2014,,8,18.908
2014,,9,19.756
2014,,10,19.003
2014,,11,16.388
2014,,12,11.928
2015,,1,6.852
2015,,2,3.799
2015,,3,4.964
2015,,4,8.373
2015,,5,11.716
2015,,6,14.475
2015,,7,16.775
2015,,8,17.749
2015,,9,18.444
2015,,10,18.409
2015,,11,16.175
2015,,12,10.655
2016,,1,4.689
2016,,2,2.79
2016,,3,4.069
2016,,4,7.222
2016,,5,10.102
2016,,6,13.242
2016,,7,16.024
2016,,8,17.892
2016,,9,18.15
2016,,10,17.46
2016,,11,14.223
2016,,12,8.279
2017,,1,3.784
2017,,2,2.288
2017,,3,2.699
2017,,4,5.436
2017,,5,9.014
2017,,6,12.409
2017,,7,15.297
2017,,8,17.219
2017,,9,17.906
2017,,10,17.776
2017,,11,15.113
2017,,12,9.482
2018,,1,4.211
2018,,2,2.326
2018,,3,3.54
2018,,4,6.033
2018,,5,9.321
2018,,6,12.885
2018,,7,15.7
2018,,8,17.417
2018,,9,17.961
2018,,10,17.732
2018,,11,15.102
2018,,12,9.188
2019,,1,3.868
2019,,2,2.655
2019,,3,3.169
2019,,4,5.718
2019,,5,8.852
2019,,6,12.251
2019,,7,15.302
2019,,8,17.478
2019,,9,18.335
2019,,10,17.937
2019,,11,14.995
2019,,12,9.409
2020,,1,4.598
2020,,2,2.92
2020,,3,4.003
2020,,4,6.662
2020,,5,9.871
2020,,6,13.275
2020,,7,15.721
2020,,8,17.758
2020,,9,18.838
2020,,10,18.493
2020,,11,16.231
2020,,12,10.575
2021,,1,4.777
2021,,2,2.892
2021,,3,4.484
2021,,4,7.132
2021,,5,10.401
2021,,6,13.542
2021,,7,16.452
2021,,8,18.194
2021,,9,18.509
2021,,10,17.689
2021,,11,15.042
2021,,12,9.245
2022,,1,3.935
2022,,2,2.213
2022,,3,2.859
2022,,4,5.948
2022,,5,9.418
2022,,6,12.218
2022,,7,14.986
2022,,8,17.05
2022,,9,18.062
2022,,10,17.474
2022,,11,15.159
2022,,12,8.839
2023,,1,3.23
2023,,2,1.913
2023,,3,2.797
2023,,4,5.485
2023,,5,8.356
2023,,6,11.017
2023,,7,13.486
2023,,8,15.502
2023,,9,16.801
2023,,10,16.199
2023,,11,14.272
2023,,12,8.668
2024,,1,3.961
2024,,2,2.142
2024,,3,3.18
2024,,4,6.19
2024,,5,9.268
2024,,6,11.764
2024,,7,14.106
2024,,8,16.338
2024,,9,17.058
2024,,10,16.547
2024,,11,14.188
2024,,12,9.487
2025,,1,4.723
2025,,2,2.209